Country,Month,wind
AR,Jan-12,619
AR,Feb-12,440
AR,Mar-12,444
AR,Apr-12,285
AR,May-12,343
AR,Jun-12,366
AR,Jul-12,431
AR,Aug-12,514
AR,Sep-12,585
AR,Oct-12,683
AR,Nov-12,581
AR,Dec-12,670
AR,Jan-13,494
AR,Feb-13,418
AR,Mar-13,397
AR,Apr-13,309
AR,May-13,356
AR,Jun-13,358
AR,Jul-13,438
AR,Aug-13,595
AR,Sep-13,629
AR,Oct-13,625
AR,Nov-13,730
AR,Dec-13,506
AR,Jan-14,660
AR,Feb-14,473
AR,Mar-14,430
AR,Apr-14,361
AR,May-14,293
AR,Jun-14,363
AR,Jul-14,339
AR,Aug-14,482
AR,Sep-14,553
AR,Oct-14,633
AR,Nov-14,661
AR,Dec-14,572
AR,Jan-15,498
AR,Feb-15,372
AR,Mar-15,330
AR,Apr-15,315
AR,May-15,316
AR,Jun-15,369
AR,Jul-15,398
AR,Aug-15,495
AR,Sep-15,506
AR,Oct-15,647
AR,Nov-15,532
AR,Dec-15,539
AR,Jan-16,481
AR,Feb-16,397
AR,Mar-16,416
AR,Apr-16,371
AR,May-16,174
AR,Jun-16,235
AR,Jul-16,270
AR,Aug-16,410
AR,Sep-16,484
AR,Oct-16,562
AR,Nov-16,584
AR,Dec-16,594
AR,Jan-17,559
AR,Feb-17,310
AR,Mar-17,373
AR,Apr-17,332
AR,May-17,293
AR,Jun-17,436
AR,Jul-17,488
AR,Aug-17,573
AR,Sep-17,611
AR,Oct-17,716
AR,Nov-17,627
AR,Dec-17,633
AR,Jan-18,524
AR,Feb-18,384
AR,Mar-18,494
AR,Apr-18,368
AR,May-18,264
AR,Jun-18,337
AR,Jul-18,380
AR,Aug-18,612
AR,Sep-18,521
AR,Oct-18,538
AR,Nov-18,698
AR,Dec-18,612
AR,Jan-19,587
AR,Feb-19,397
AR,Mar-19,370
AR,Apr-19,325
AR,May-19,319
AR,Jun-19,402
AR,Jul-19,325
AR,Aug-19,500
AR,Sep-19,546
AR,Oct-19,670
AR,Nov-19,639
AR,Dec-19,690
AR,Jan-20,661
AR,Feb-20,568
AR,Mar-20,446
AR,Apr-20,453
AR,May-20,472
AR,Jun-20,458
AR,Jul-20,455
AR,Aug-20,747
AR,Sep-20,749
AR,Oct-20,864
AR,Nov-20,730
AR,Dec-20,889
AR,Jan-21,716
AR,Feb-21,429
AR,Mar-21,501
AR,Apr-21,448
AR,May-21,435
AR,Jun-21,395
AR,Jul-21,539
AR,Aug-21,549
AR,Sep-21,741
AR,Oct-21,768
AR,Nov-21,796
AR,Dec-21,652
AR,Jan-22,822
AR,Feb-22,575
AR,Mar-22,689
AR,Apr-22,506
AR,May-22,403
AR,Jun-22,367
AR,Jul-22,545
AR,Aug-22,536
AR,Sep-22,656
AR,Oct-22,910
AR,Nov-22,838
AR,Dec-22,818
AR,Jan-23,679
AR,Feb-23,585
AR,Mar-23,588
AR,Apr-23,523
AR,May-23,429
AR,Jun-23,408
AR,Jul-23,535
AR,Aug-23,762
AR,Sep-23,791
AR,Oct-23,955
AR,Nov-23,960
AR,Dec-23,911
AU,Jan-12,608
AU,Feb-12,481
AU,Mar-12,340
AU,Apr-12,297
AU,May-12,265
AU,Jun-12,202
AU,Jul-12,198
AU,Aug-12,116
AU,Sep-12,190
AU,Oct-12,195
AU,Nov-12,274
AU,Dec-12,326
AU,Jan-13,334
AU,Feb-13,97
AU,Mar-13,394
AU,Apr-13,192
AU,May-13,325
AU,Jun-13,267
AU,Jul-13,120
AU,Aug-13,129
AU,Sep-13,251
AU,Oct-13,198
AU,Nov-13,339
AU,Dec-13,368
AU,Jan-14,327
AU,Feb-14,338
AU,Mar-14,371
AU,Apr-14,271
AU,May-14,450
AU,Jun-14,138
AU,Jul-14,269
AU,Aug-14,205
AU,Sep-14,293
AU,Oct-14,345
AU,Nov-14,458
AU,Dec-14,577
AU,Jan-15,706
AU,Feb-15,468
AU,Mar-15,605
AU,Apr-15,543
AU,May-15,343
AU,Jun-15,203
AU,Jul-15,194
AU,Aug-15,207
AU,Sep-15,384
AU,Oct-15,315
AU,Nov-15,521
AU,Dec-15,289
AU,Jan-16,440
AU,Feb-16,579
AU,Mar-16,427
AU,Apr-16,381
AU,May-16,443
AU,Jun-16,172
AU,Jul-16,262
AU,Aug-16,204
AU,Sep-16,195
AU,Oct-16,348
AU,Nov-16,417
AU,Dec-16,533
AU,Jan-17,580
AU,Feb-17,385
AU,Mar-17,463
AU,Apr-17,500
AU,May-17,334
AU,Jun-17,257
AU,Jul-17,288
AU,Aug-17,224
AU,Sep-17,326
AU,Oct-17,527
AU,Nov-17,447
AU,Dec-17,480
AU,Jan-18,392
AU,Feb-18,248
AU,Mar-18,327
AU,Apr-18,350
AU,May-18,197
AU,Jun-18,218
AU,Jul-18,183
AU,Aug-18,151
AU,Sep-18,138
AU,Oct-18,519
AU,Nov-18,421
AU,Dec-18,672
AU,Jan-19,830
AU,Feb-19,492
AU,Mar-19,641
AU,Apr-19,525
AU,May-19,493
AU,Jun-19,257
AU,Jul-19,182
AU,Aug-19,180
AU,Sep-19,211
AU,Oct-19,316
AU,Nov-19,484
AU,Dec-19,522
AU,Jan-20,353
AU,Feb-20,779
AU,Mar-20,438
AU,Apr-20,180
AU,May-20,354
AU,Jun-20,355
AU,Jul-20,143
AU,Aug-20,168
AU,Sep-20,209
AU,Oct-20,371
AU,Nov-20,186
AU,Dec-20,436
AU,Jan-21,456
AU,Feb-21,255
AU,Mar-21,402
AU,Apr-21,469
AU,May-21,469
AU,Jun-21,210
AU,Jul-21,257
AU,Aug-21,211
AU,Sep-21,170
AU,Oct-21,346
AU,Nov-21,375
AU,Dec-21,504
AU,Jan-22,802
AU,Feb-22,736
AU,Mar-22,297
AU,Apr-22,397
AU,May-22,172
AU,Jun-22,239
AU,Jul-22,251
AU,Aug-22,182
AU,Sep-22,261
AU,Oct-22,210
AU,Nov-22,272
AU,Dec-22,395
AU,Jan-23,475
AU,Feb-23,614
AU,Mar-23,541
AU,Apr-23,364
AU,May-23,253
AU,Jun-23,139
AU,Jul-23,225
AU,Aug-23,258
AU,Sep-23,184
AU,Oct-23,334
AU,Nov-23,570
AU,Dec-23,582
BR,Jan-12,389
BR,Feb-12,297
BR,Mar-12,252
BR,Apr-12,200
BR,May-12,296
BR,Jun-12,211
BR,Jul-12,347
BR,Aug-12,653
BR,Sep-12,660
BR,Oct-12,626
BR,Nov-12,468
BR,Dec-12,347
BR,Jan-13,468
BR,Feb-13,437
BR,Mar-13,380
BR,Apr-13,216
BR,May-13,188
BR,Jun-13,152
BR,Jul-13,302
BR,Aug-13,494
BR,Sep-13,608
BR,Oct-13,629
BR,Nov-13,636
BR,Dec-13,450
BR,Jan-14,415
BR,Feb-14,400
BR,Mar-14,287
BR,Apr-14,252
BR,May-14,204
BR,Jun-14,325
BR,Jul-14,405
BR,Aug-14,471
BR,Sep-14,687
BR,Oct-14,724
BR,Nov-14,503
BR,Dec-14,568
BR,Jan-15,497
BR,Feb-15,343
BR,Mar-15,209
BR,Apr-15,180
BR,May-15,255
BR,Jun-15,297
BR,Jul-15,364
BR,Aug-15,543
BR,Sep-15,549
BR,Oct-15,670
BR,Nov-15,537
BR,Dec-15,495
BR,Jan-16,369
BR,Feb-16,227
BR,Mar-16,234
BR,Apr-16,210
BR,May-16,192
BR,Jun-16,260
BR,Jul-16,795
BR,Aug-16,933
BR,Sep-16,1074
BR,Oct-16,1411
BR,Nov-16,1172
BR,Dec-16,1049
BR,Jan-17,751
BR,Feb-17,475
BR,Mar-17,457
BR,Apr-17,586
BR,May-17,566
BR,Jun-17,668
BR,Jul-17,1128
BR,Aug-17,1092
BR,Sep-17,1472
BR,Oct-17,1499
BR,Nov-17,1005
BR,Dec-17,910
BR,Jan-18,746
BR,Feb-18,436
BR,Mar-18,425
BR,Apr-18,302
BR,May-18,452
BR,Jun-18,432
BR,Jul-18,607
BR,Aug-18,846
BR,Sep-18,1053
BR,Oct-18,1083
BR,Nov-18,1199
BR,Dec-18,696
BR,Jan-19,706
BR,Feb-19,410
BR,Mar-19,366
BR,Apr-19,207
BR,May-19,314
BR,Jun-19,509
BR,Jul-19,659
BR,Aug-19,1052
BR,Sep-19,1132
BR,Oct-19,1121
BR,Nov-19,921
BR,Dec-19,800
BR,Jan-20,503
BR,Feb-20,427
BR,Mar-20,336
BR,Apr-20,355
BR,May-20,380
BR,Jun-20,525
BR,Jul-20,559
BR,Aug-20,811
BR,Sep-20,802
BR,Oct-20,688
BR,Nov-20,653
BR,Dec-20,670
BR,Jan-21,598
BR,Feb-21,324
BR,Mar-21,304
BR,Apr-21,383
BR,May-21,302
BR,Jun-21,361
BR,Jul-21,534
BR,Aug-21,813
BR,Sep-21,848
BR,Oct-21,740
BR,Nov-21,594
BR,Dec-21,631
BR,Jan-22,394
BR,Feb-22,271
BR,Mar-22,332
BR,Apr-22,244
BR,May-22,359
BR,Jun-22,288
BR,Jul-22,572
BR,Aug-22,835
BR,Sep-22,887
BR,Oct-22,927
BR,Nov-22,793
BR,Dec-22,639
BR,Jan-23,475
BR,Feb-23,355
BR,Mar-23,294
BR,Apr-23,219
BR,May-23,221
BR,Jun-23,321
BR,Jul-23,606
BR,Aug-23,613
BR,Sep-23,977
BR,Oct-23,864
BR,Nov-23,895
BR,Dec-23,608
